course_name,course_type,institution,cutoff_2024,cutoff_2023,cutoff_2022,cutoff_2021
BACHELOR OF ARTS,Degree,CHUKA UNIVERSITY,24.851,23.714,28.566,25.974
BACHELOR OF ARTS,Degree,KISII UNIVERSITY,22.173,24.286,26.315,22.926
BACHELOR OF ARTS,Degree,RONGO UNIVERSITY,24.252,24.574,27.808,
BACHELOR OF ARTS,Degree,EGERTON UNIVERSITY,21.799,24.188,26.783,22.926
"BACHELOR OF ARTS (PSYCHOLOGY, SOCIOLOGY & POLITICAL SCIENCE)",Degree,MULTIMEDIA UNIVERSITY OF KENYA,22.851,22.449,26.207,24.456
BACHELOR OF ARTS,Degree,KOITALEEL SAMOEI UNIVERSITY COLLEGE,23.541,22.449,22.916,
BACHELOR OF ARTS,Degree,BOMET UNIVERSITY COLLEGE,23.388,22.449,22.916,22.926
BACHELOR OF ARTS,Degree,THARAKA UNIVERSITY,23.322,22.449,22.916,22.926
BACHELOR OF ARTS,Degree,UNIVERSITY OF NAIROBI,23.031,23.248,26.506,24.382
BACHELOR OF ARTS,Degree,MOI UNIVERSITY,22.729,23.716,26.127,22.926
BACHELOR OF ARTS,Degree,MACHAKOS UNIVERSITY,23.405,24.666,25.34,22.926
BACHELOR OF ARTS,Degree,SOUTH EASTERN KENYA UNIVERSITY,23.008,22.449,24.46,22.926
BACHELOR OF ARTS,Degree,PWANI UNIVERSITY,23.038,,,
BACHELOR OF ARTS,Degree,KENYATTA UNIVERSITY,25.617,24.057,28.578,25.034
BACHELOR OF ARTS (WITH IT),Degree,TOM MBOYA UNIVERSITY,24.247,23.729,22.916,22.926
BACHELOR OF ARTS (WITH IT),Degree,MASENO UNIVERSITY,23.582,23.721,26.259,22.926
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,Degree,TECHNICAL UNIVERSITY OF MOMBASA,39.021,38.365,40.571,39.176
BACHELOR OF ARCHITECTURE,Degree,KENYATTA UNIVERSITY,41.119,41.494,42.407,42.315
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,Degree,UNIVERSITY OF NAIROBI,42.524,42.99,43.794,43.198
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,41.779,41.803,42.528,42.016
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,Degree,TECHNICAL UNIVERSITY OF KENYA,39.883,41.035,41.962,40.979
BACHELOR OF QUANTITY SURVEYING,Degree,TECHNICAL UNIVERSITY OF MOMBASA,34.023,,,
BACHELOR OF QUANTITY SURVEYING,Degree,UNIVERSITY OF NAIROBI,35.904,40.232,40.993,42.006
BACHELOR OF QUANTITY SURVEYING,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,38.243,39.763,41.641,40.877
BACHELOR OF QUANTITY SURVEYING,Degree,TECHNICAL UNIVERSITY OF KENYA,36.648,38.424,40.533,40.184
BACHELOR OF ACTUARIAL SCIENCE,Degree,KCA UNIVERSITY,,18.831,19.914,26.208
BACHELOR OF ACTUARIAL SCIENCE,Degree,KISII UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),Degree,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),Degree,GARISSA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),Degree,EGERTON UNIVERSITY,31.992,32.262,28.868,30.859
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,CHUKA UNIVERSITY,28.461,25.416,22.714,30.784
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,CO-OPERATIVE UNIVERSITY OF KENYA,30.015,25.061,24.735,26.383
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,KIRINYAGA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,KABARAK UNIVERSITY,,18.831,19.914,24.496
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),Degree,UNIVERSITY OF NAIROBI,37.039,39.531,39.271,40.134
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),Degree,MOI UNIVERSITY,,24.905,24.923,33.425
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),Degree,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),Degree,MACHAKOS UNIVERSITY,,23.617,19.914,
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),Degree,SOUTH EASTERN KENYA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),Degree,UNIVERSITY OF KABIANGA,,18.831,19.914,26.367
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),Degree,KENYATTA UNIVERSITY,34.712,34.474,31.842,36.908
"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",Degree,TOM MBOYA UNIVERSITY,,18.831,19.914,20.1
"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",Degree,MASENO UNIVERSITY,29.152,26.81,24.601,31.886
BACHELOR OF ACTUARIAL SCIENCE,Degree,THARAKA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,CATHOLIC UNIVERSITY OF EASTERN AFRICA,,18.831,19.914,22.92
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,ZETECH UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,MOUNT KENYA UNIVERSITY,,18.831,19.914,31.88
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,34.725,34.347,31.441,37.145
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,MURANG'A UNIVERSITY OF TECHNOLOGY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,KARATINA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,25.832,24.443,24.342,30.427
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,MULTIMEDIA UNIVERSITY OF KENYA,30.819,28.075,25.777,31.618
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,DAYSTAR UNIVERSITY,,18.831,19.914,27.913
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Degree,UNIVERSITY OF ELDORET,23.479,23.568,19.914,29.666
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,UNIVERSITY OF EMBU,,15.683,15.982,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,KISII UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,,25.036,15.982,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,Degree,CHUKA UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,Degree,TAITA TAVETA UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,MOUNT KENYA UNIVERSITY,,15.683,15.982,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,UNIVERSITY OF NAIROBI,26.864,27.458,31.98,33.535
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,MURANG'A UNIVERSITY OF TECHNOLOGY,,15.683,15.982,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),Degree,PWANI UNIVERSITY,,15.683,15.982,16.787
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",Degree,TOM MBOYA UNIVERSITY,,15.683,15.982,16.787
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",Degree,MASENO UNIVERSITY,,25.535,23.851,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,,24.943,24.479,25.786
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,Degree,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,,15.683,15.982,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,Degree,MULTIMEDIA UNIVERSITY OF KENYA,,15.683,15.982,16.787
BACHELOR OF SCIENCE (MATHEMATICS),Degree,RONGO UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE IN MATHEMATICS,Degree,CHUKA UNIVERSITY,,23.741,19.914,24.917
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",Degree,TOM MBOYA UNIVERSITY,,18.831,19.914,20.1
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",Degree,MASENO UNIVERSITY,22.338,22.755,19.914,27.259
BACHELOR OF SCIENCE (MATHEMATICS),Degree,CATHOLIC UNIVERSITY OF EASTERN AFRICA,,,19.914,20.1
BACHELOR OF SCIENCE (MATHEMATICS),Degree,UNIVERSITY OF NAIROBI,29.054,32.945,32.487,33.862
BACHELOR OF SCIENCE (MATHEMATICS),Degree,MACHAKOS UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (MATHEMATICS),Degree,SOUTH EASTERN KENYA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (MATHEMATICS),Degree,MAASAI MARA UNIVERSITY,,18.831,19.914,20.1
BACHELOR OF SCIENCE (MATHEMATICS),Degree,PWANI UNIVERSITY,,18.831,19.914,23.895
BACHELOR OF SCIENCE (MATHEMATICS),Degree,TECHNICAL UNIVERSITY OF KENYA,28.706,24.252,26.695,31.045
BACHELOR OF SCIENCE (MATHEMATICS),Degree,KIBABII UNIVERSITY,,18.831,19.914,20.1
