tveta_course_id,tveta_course_name,tveta_level,exam_body
KNC114,Agricultural Mechanics,Artisan,KNEC
KNC115,Appropriate Carpentry and Joinery,Artisan,KNEC
KNC116,Building Technology,Artisan,KNEC
KNC117,Clerk-Typist,Artisan,KNEC
KNC118,Electrical and Electronics Technology,Artisan,KNEC
KNC119,Electrical Installation,Artisan,KNEC
KNC120,Fashion Design and Garment Making,Artisan,KNEC
KNC121,Food and Beverage,Artisan,KNEC
KNC122,Food Processing Technology,Artisan,KNEC
KNC124,General Agriculture,Artisan,KNEC
KNC125,General Fitter,Artisan,KNEC
KNC126,Hairdressing and Beauty Therapy,Artisan,KNEC
KNC127,Information Communication Technology,Artisan,KNEC
KNC128,Leather Work,Artisan,KNEC
KNC129,Masonry,Artisan,KNEC
KNC130,Mechanical Engineering (Plant Option),Artisan,KNEC
KNC131,Metal Processing Technology,Artisan,KNEC
KNC132,Motor Vehicle Mechanics,Artisan,KNEC
KNC133,Motor Vehicle Technology,Artisan,KNEC
KNC134,Painting and Decoration,Artisan,KNEC
KNC135,Plumbing,Artisan,KNEC
KNC136,Refrigeration and Air Conditioning Technology,Artisan,KNEC
KNC137,Salesmanship,Artisan,KNEC
KNC138,Seafarers,Artisan,KNEC
KNC139,Storekeeping,Artisan,KNEC
KNC140,Welding and Fabrication,Artisan,KNEC
KSB102,Accounting and Management Skills,Craft,KASNEB
KSB103,Information Communication Technology,Craft,KASNEB
KWS102,Aquaculture,Craft,Kenya Wildlife Service Training Institute
KWS103,Community Wildlife Management,Craft,Kenya Wildlife Service Training Institute
KWS104,Nature Interpretation and Tour Administration,Craft,Kenya Wildlife Service Training Institute
KNC141,Accountancy,Craft,KNEC
KNC142,Agricultural Engineering (Farm Power and Machinery),Craft,KNEC
KNC143,Agricultural Mechanics,Craft,KNEC
KNC144,Automotive Engineering,Craft,KNEC
KNC145,Baking Technology,Craft,KNEC
KNC146,Banking and Finance,Craft,KNEC
KNC147,Building Technology,Craft,KNEC
KNC148,Business Administration,Craft,KNEC
KNC149,Business Management,Craft,KNEC
